source_dataset,label_setting,dataset_name,num_records,num_train,num_test,num_labels,attribute_set,split,split_name,fold_id,random_seed,is_smoke_test,smoke_test_records,model_name,status,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_micro,f1_macro,f1_weighted
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_logistic_regression,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_random_forest,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0
