source_dataset,label_setting,dataset_name,num_records,num_train,num_test,num_labels,attribute_set,split,split_name,fold_id,random_seed,is_smoke_test,smoke_test_records,model_name,label,precision,recall,f1,support,hf_model_id,embedding_pooling,openai_model,prompt_template
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,modernbert_embedding_random_forest,Graphs,1.0,1.0,1.0,1.0,answerdotai/ModernBERT-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,modernbert_embedding_random_forest,Natural Language Processing,0.0,0.0,0.0,0.0,answerdotai/ModernBERT-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,modernbert_embedding_random_forest,Reinforcement Learning,0.0,0.0,0.0,0.0,answerdotai/ModernBERT-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,modernbert_embedding_random_forest,Sequential,0.0,0.0,0.0,0.0,answerdotai/ModernBERT-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_logistic_regression,Audio,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_logistic_regression,Computer Vision,0.0,0.0,0.0,1.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_logistic_regression,Graphs,1.0,1.0,1.0,1.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_logistic_regression,Natural Language Processing,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_logistic_regression,Reinforcement Learning,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_logistic_regression,Sequential,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_random_forest,Audio,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_random_forest,Computer Vision,0.0,0.0,0.0,1.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_random_forest,Graphs,0.0,0.0,0.0,1.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_random_forest,Natural Language Processing,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_random_forest,Reinforcement Learning,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,scibert_embedding_random_forest,Sequential,0.0,0.0,0.0,0.0,allenai/scibert_scivocab_uncased,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_logistic_regression,Audio,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_logistic_regression,Computer Vision,0.0,0.0,0.0,1.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_logistic_regression,Graphs,0.0,0.0,0.0,1.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_logistic_regression,Natural Language Processing,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_logistic_regression,Reinforcement Learning,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_logistic_regression,Sequential,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_random_forest,Audio,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_random_forest,Computer Vision,0.0,0.0,0.0,1.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_random_forest,Graphs,0.0,0.0,0.0,1.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_random_forest,Natural Language Processing,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_random_forest,Reinforcement Learning,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,deberta_v3_embedding_random_forest,Sequential,0.0,0.0,0.0,0.0,microsoft/deberta-v3-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_logistic_regression,Audio,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_logistic_regression,Computer Vision,0.0,0.0,0.0,1.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_logistic_regression,Graphs,0.0,0.0,0.0,1.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_logistic_regression,Natural Language Processing,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_logistic_regression,Reinforcement Learning,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_logistic_regression,Sequential,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_random_forest,Audio,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_random_forest,Computer Vision,0.0,0.0,0.0,1.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_random_forest,Graphs,0.0,0.0,0.0,1.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_random_forest,Natural Language Processing,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_random_forest,Reinforcement Learning,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,roberta_embedding_random_forest,Sequential,0.0,0.0,0.0,0.0,FacebookAI/roberta-base,attention_masked_mean_pooling,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_zero_shot,Audio,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_zero_shot,Computer Vision,1.0,1.0,1.0,1.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_zero_shot,Graphs,1.0,1.0,1.0,1.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_zero_shot,Natural Language Processing,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_zero_shot,Reinforcement Learning,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_zero_shot,Sequential,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_few_shot,Audio,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_few_shot,Computer Vision,1.0,1.0,1.0,1.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_few_shot,Graphs,1.0,1.0,1.0,1.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_few_shot,Natural Language Processing,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_few_shot,Reinforcement Learning,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,openai_few_shot,Sequential,0.0,0.0,0.0,0.0,,,gpt-4.1-mini,prompts/openai_research_software_classifier.md
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_hard_voting,Audio,0.0,0.0,0.0,0.0,,,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_hard_voting,Computer Vision,0.0,0.0,0.0,1.0,,,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_hard_voting,Graphs,0.0,0.0,0.0,1.0,,,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_hard_voting,Natural Language Processing,0.0,0.0,0.0,0.0,,,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_hard_voting,Reinforcement Learning,0.0,0.0,0.0,0.0,,,,
papers_with_code,single,pwc_single_only,10,8,2,6,abstract_only,deterministic_random_split,train_test,,42,True,10,tfidf_hard_voting,Sequential,0.0,0.0,0.0,0.0,,,,
